S,uncertainty,jd,wavelength start,wavelength end,wavelength range,wavelength midpoint,filter/method,span of obs (days),Author
8.64840672775807,2.81294942845758,2458801.8,528,860,166,694,IFU/MUSE,,Deam 2024
8.08271058547397,2.99633147091761,2458802.8,528,860,166,694,IFU/MUSE,,Deam 2024
8.17708600170503,1.60686521016639,2458813.80375174,528,860,166,694,IFU/MUSE,,Deam 2024
9.56852260060516,1.56413680354071,2458822.79822208,528,860,166,694,IFU/MUSE,,Deam 2024
8.65337195801294,1.93496303472423,2458823.81774039,528,860,166,694,IFU/MUSE,,Deam 2024
7.09735745729763,1.91778010673276,2458838.83077844,528,860,166,694,IFU/MUSE,,Deam 2024
7.41461532756943,1.76120013150892,2458840.74355963,528,860,166,694,IFU/MUSE,,Deam 2024
7.57987425920115,1.64740938478619,2458846.72130876,528,860,166,694,IFU/MUSE,,Deam 2024
6.71746548353458,1.71242194266939,2458848.73392734,528,860,166,694,IFU/MUSE,,Deam 2024
7.56455013836546,2.18547305629134,2458881.67908985,528,860,166,694,IFU/MUSE,,Deam 2024
5.84003261227712,4.04914806871092,2458883.63763781,528,860,166,694,IFU/MUSE,,Deam 2024
8.88133310101696,5.15334531438722,2458895.67168691,528,860,166,694,IFU/MUSE,,Deam 2024
5.02571277187959,4.06940169597771,2458904.64466321,528,860,166,694,IFU/MUSE,,Deam 2024
4.17708842730151,5.25038924775617,2458907.66828002,528,860,166,694,IFU/MUSE,,Deam 2024
9.08392595711269,1.93863255700331,2458924.69571296,528,860,166,694,IFU/MUSE,,Deam 2024
7.94707736091332,2.01893999896971,2458927.72479178,528,860,166,694,IFU/MUSE,,Deam 2024
12.5,,2458736.5,475,630,77.5,552.5, g' r' ,, Guzik 2019
12.5,,2458738.5,475,630,77.5,552.5, g' r' ,, Guzik 2019
4,,2458751.5,440,650,105,545, B R   ,, Jewitt 2019
10.6,1.4,2458818.5,470,762,146,616, g' i' ,60, Hui 2020
12,1,2458738.5,400,900,250,650,spectroscopic,, de Leon 2020
12,1,2458749.5,400,900,250,650,spectroscopic,, de Leon 2020
12,1,2458751.5,400,900,250,650,spectroscopic,, de Leon 2020
22,1,2458749.5,390,600,105,495,spectroscopic,, de Leon 2020
22,1,2458751.5,390,600,105,495,spectroscopic,, de Leon 2020
22,4,2458766.5,445,526,40.5,485.5,spectroscopic,, Kareta2020
11,3,2458766.5,526,713,93.5,619.5,spectroscopic,, Kareta2020
19.9,1.5,2458745.2,390,600,105,495,spectroscopic,, Fitzsimmons 2019
11,0.9,2458817.5,330,1100,385,715,photometry,, Yang 2021
11.4,1,2458843.5,330,1100,385,715,photometry,, Yang 2021
9.3,3,2458898.5,330,1100,385,715,photometry,, Yang 2021
6,,2458744.5,800,2400,800,1600,spectroscopic,, Yang 2020
6,,2458749.5,800,2400,800,1600,spectroscopic,, Yang 2020
6,,2458765.5,800,2400,800,1600,spectroscopic,, Yang 2020
9.9,1.2,2458817.5,640,790,75,715,R I,,Aravind 2021
9.9,1.2,2458839.5,640,790,75,715,R I,,Aravind 2021
9.9,1.2,2458841.5,640,790,75,715,R I,,Aravind 2021
13.5,1.5,2458817.5,420,550,65,485,B V,,Aravind 2021
13.5,1.5,2458839.5,420,550,65,485,B V,,Aravind 2021
13.5,1.5,2458842.5,420,550,65,485,B V,,Aravind 2021
19.3,,2458789,390,600,105,495,spectroscopic,5,Lin 2020
9.2,,2458789,550,900,175,725,spectroscopic,5,Lin 2020
10.5,,2458775.5,647,797,75,722,R I,,Mazotta-Epifani 2021
5,,2458819.5,647,797,75,722,R I,,Mazotta-Epifani 2021
