S,uncertainty,jd,wavelength start,wavelength end,wavelength range,wavelength midpoint
8.64840672775807,2.81294942845758,2458801.8,528,860,166,694
8.08271058547397,2.99633147091761,2458802.8,528,860,166,694
8.17708600170503,1.60686521016639,2458813.80375174,528,860,166,694
9.56852260060516,1.56413680354071,2458822.79822208,528,860,166,694
8.65337195801294,1.93496303472423,2458823.81774039,528,860,166,694
7.09735745729763,1.91778010673276,2458838.83077844,528,860,166,694
7.41461532756943,1.76120013150892,2458840.74355963,528,860,166,694
7.57987425920115,1.64740938478619,2458846.72130876,528,860,166,694
6.71746548353458,1.71242194266939,2458848.73392734,528,860,166,694
7.56455013836546,2.18547305629134,2458881.67908985,528,860,166,694
5.84003261227712,4.04914806871092,2458883.63763781,528,860,166,694
8.88133310101696,5.15334531438722,2458895.67168691,528,860,166,694
5.02571277187959,4.06940169597771,2458904.64466321,528,860,166,694
4.17708842730151,5.25038924775617,2458907.66828002,528,860,166,694
9.08392595711269,1.93863255700331,2458924.69571296,528,860,166,694
7.94707736091332,2.01893999896971,2458927.72479178,528,860,166,694
